,Collaborateur,AccountID Jira,,Aout,,,,,,,,,,,,,Septembre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Octobre,,,,,,,,,,,,
,jour semaine,,,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2,3,4,5,6,7,1,2
,semaine,,,34,34,34,34,34,35,35,35,35,35,35,35,36,36,36,36,36,36,36,37,37,37,37,37,37,37,38,38,38,38,38,38,38,39,39,39,39,39,39,39,40,40,40,40,40,40,40,41,41,41,41,41,41,41,42,42
,mois,,,8,8,8,8,8,8,8,8,8,8,8,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10
,Jour,,,19/08/2020,20/08/2020,21/08/2020,22/08/2020,23/08/2020,24/08/2020,25/08/2020,26/08/2020,27/08/2020,28/08/2020,29/08/2020,30/08/2020,31/08/2020,01/09/2020,02/09/2020,03/09/2020,04/08/2020,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,1,2,3,4,5,6,7,8,9,10,11,12,13
,Sprint,,,SP 33,,,1,1,,,,,,1,1,,,SP 34,,,,,,,,,,,,,,SP 35,,,,,,,,,,,,,,SP 36,,,,,,,,,,,,,
α,Alpha,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Julien Mosset,5c17b4599f443a65fecae3ca,"0,5",,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Nicolas Ovejero,5a9ebe1c4af2372a88a0656b,"0,5",,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Pape Mar Thiam,5bcd8282607ed038040177bb,"0,8",,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Valentin Pierrel,5cf921f6b06c540e82580cbd,"0,8",1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Gabriel Roquigny,5a9ebdf74af2372a88a06565,"0,8",,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Alex Cheuko,5ed76cdf2fdc580b88f3bbef,"0,8",R,R,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,F,"6,4",,,1,1,,,,,,1,1,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,
β,Beta,,M,0,,,1,1,,,,,,1,1,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,
M,Guillermo Garcès,5cb45bb34064460e407eabe4,"0,5",,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Etienne Bourgoin,5a2181081594706402dee482,"0,6",1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Malick Diagne,5afe92f251d0b7540b43de81,"0,8",,,,1,1,,,R,R,R,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Anthony Hernandez,5ed64583620b1d0c168d4e36,"0,8",,,1,1,1,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Pierre Tomasina,5d6e32e06e3e1f0d9623cb5a,"0,8",,,R,1,1,R,R,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,F,"4,8",,,1,1,,,,,,1,1,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,
γ,Gamma,,M,"2,4",,,1,1,,,,,,1,1,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,
M,Eric Coupal,5e285008ee264b0e74591993,"0,5",1,1,1,1,1,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Maxime Fourt,5d9b0573ea65c10c3fdbaab2,"0,8",,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M/F,Guillaume Coppens,5a8155f0cad06b353733bae8,"0,8",1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F,Thibault Foucault,5ed76cc1be03220ab32183be,"0,5",,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
M,Carthy Marie-Joseph,5dfd11b39422830cacaa8a79,"0,8",,1,1,1,1,1,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,F,0,,,1,1,,,,,,1,1,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Transverse & Scrum,,M,"8,1",,,1,1,,,,,,1,1,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,,0,,,,,,,,,,,,,
,Kévin Labesse,557058:1f318bba-6336-4f60-a3b1-67e03a32a3dc,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lionel Sgarbi,5aafb6012235812a6233652d,,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pierre-Yves Garic,5ef5ec9a7e95e80a8126e509,,,,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Carine Chambon,,,,,,1,1,,,"0,5",,,1,1,,,"0,5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Nicolas Beucler,5ed754b0f93b230ba59a3d38,,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Xavier Michel,5b97bc461b4803467d26fd6e,,1,1,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maxime Ancellin,5e787dfb2466490c495f2a85,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Joël Royer,5a96abe5e9dc0033a7af8cfb,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pierre Thevenet,557058:87b17037-8a69-4b38-8dab-b4cf904e960a,"0,5",,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PO,,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,David Boucard Planel,5db2f070af604e0db364eb12,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Pierre Bertin,5a27b9ed466b4a37eec61268,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vincent Martin,557058:d8f506a1-fa47-4681-9ab1-7214a062c264,,1,1,1,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Victor Dumesny,557058:834cbf83-d227-4823-bfdf-db62c8672ad1,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Philippe Fleur,557058:df17bf30-7843-415e-985d-151faba64429,,,,,1,1,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
