,,,,,,,
Sprint #,Date début,Date fin,"Nb
 jours ouvrés","Nb jours équipe
(3 équipes)",Capacité Build Front,Capacité Build Middle,"Capacité Build
Totale"
Release 3.1,24/06/2020,21/07/2020,19,"223,50","37,43","103,20","140,63"
Release 3.2,22/07/2020,18/08/2020,20,"176,00","31,87","74,80","106,67"
Release 3.3,19/08/2020,15/09/2020,20,"219,20","37,12","116,64","153,76"
Release 3.4,16/09/2020,13/10/2020,20,"237,60","46,08","122,40","168,48"
Release 3.5,14/10/2020,10/11/2020,20,"237,60","46,08","122,40","168,48"
Release 3.6,11/11/2020,08/12/2020,19,"224,40","43,52","115,60","159,12"
Release 3.7,09/12/2020,05/01/2021,19,"224,40","43,52","115,60","159,12"